Time;Urban, 9m;Urban, 13m;Coach, 13m;Urban, 13m, double deck;Coach, 13m, double deck;Urban, 18m
505;11.1;11.1;67.8931;11.1;69.2779;11.1
506;11.8329;11.1;68.8309;12.1466;69.2779;11.9892
507;14.3632;11.2252;69.8464;14.9932;69.2779;14.6785
508;17.9608;12.9675;70.9382;18.5932;69.2779;18.2785
509;21.5608;16.345;72.1047;22.1848;69.2779;21.8777
510;24.3279;19.8167;73.3243;24.6382;69.2779;24.4884
511;25.2975;23.0596;74.5414;25.3;69.2779;25.3
512;25.3;24.9456;75.7183;25.3;69.2779;25.3
513;25.3;25.3;76.8535;25.3;69.2779;25.3
514;25.3;25.3;77.9484;25.3;69.2779;25.3
515;25.95;25.3;79.0041;25.95;69.2779;25.95
516;26.6;25.3791;80.0219;26.6;69.2779;26.6
517;26.6;26.0291;81.0029;26.6;69.2779;26.6
518;26.6;26.6;81.9484;26.6;69.2779;26.6
519;26.6;26.6;82.8564;26.6;69.2779;26.6
520;26.6;26.6;83.7288;26.6;69.2779;26.6
521;26.6;26.6;84.5857;26.6;69.2779;26.6
522;25.6898;26.6;85.4437;25.4263;69.2779;25.5747
523;23.7898;26.4641;86.3022;23.5263;69.2779;23.6747
524;23.9302;24.5884;87.1419;24.2084;69.2779;24.051
525;26.4302;23.149;87.6595;26.7084;69.2779;26.551
526;27.8;25.1886;87.7666;27.8;69.2779;27.8
527;27.8;27.3638;87.7666;27.8;69.2779;27.8
528;27.8;27.8;87.7666;27.8;69.2779;27.8
529;27.8;27.8;87.7666;27.8;69.2779;27.8
530;26.6244;27.8;87.7666;26.3562;69.2779;26.5079
531;23.7134;27.3741;87.7666;23.177;69.2779;23.4805
532;20.2427;25.2149;87.7666;19.7063;69.2779;20.0097
533;16.772;21.7483;87.7666;16.2356;69.2779;16.539
534;13.3012;18.2818;87.7666;12.7648;69.2779;13.0683
535;9.8305;14.8153;87.7666;9.2947;69.2779;9.5975
536;6.4127;11.3487;87.7666;5.8967;69.2779;6.1933
537;3.0906;7.8938;87.7666;2.5704;69.2779;2.8612
538;0.7255;4.5335;87.7666;0.4536;69.2779;0.599
539;0;1.4474;87.7666;0;69.2779;0
540;0;0;87.7666;0;69.2779;0
541;0;0;87.7666;0;69.2779;0
542;0;0;87.7666;0;69.2779;0
543;0;0;87.7666;0;69.2779;0
544;0;0;87.7666;0;69.2779;0
545;0;0;87.7666;0;69.2779;0
546;0;0;87.7666;0;69.2779;0
547;0;0;87.7666;0;69.2779;0
548;0;0;87.7666;0;69.2779;0
549;0;0;87.7666;0;69.2779;0
550;0;0;87.7666;0;69.2779;0
551;0;0;87.7666;0;69.2779;0
552;0;0;87.7666;0;69.2779;0
553;0;0;87.7666;0;69.2779;0
554;0;0;87.7666;0;69.2779;0
555;0;0;87.7666;0;69.2779;0
556;0;0;87.7666;0;69.2779;0
557;0;0;87.7666;0;69.2779;0
558;0;0;87.7666;0;69.2779;0
559;0;0;87.7666;0;69.2779;0
560;0;0;87.7666;0;69.2779;0
561;0;0;87.7666;0;69.2779;0
562;0;0;87.7666;0;69.2779;0
563;0;0;87.7666;0;69.2779;0
564;0;0;87.7666;0;69.2779;0
565;0;0;87.7666;0;69.2779;0
566;0;0;87.7666;0;69.2779;0
567;0;0;87.7666;0;69.2779;0
568;0;0;87.7666;0;69.2779;0
569;0;0;87.7666;0;69.2779;0
570;0;0;87.7666;0;69.2779;0
571;0;0;87.7666;0;69.2779;0
572;0;0;87.7666;0;69.2779;0
573;0;0;87.7666;0;69.2779;0
574;0;0;87.7666;0;69.2779;0
575;0;0;87.7666;0;69.2779;0
576;0;0;87.7666;0;69.2779;0
577;0;0;87.7666;0;69.2779;0
578;0;0;87.7666;0;69.2779;0
579;0;0;87.7666;0;69.2779;0
580;0;0;87.7666;0;69.2779;0
581;0;0;87.7666;0;69.2779;0
582;0;0;87.7666;0;69.2779;0
583;0;0;87.7666;0;69.2779;0
584;0;0;87.7666;0;69.2779;0
585;0;0;87.7666;0;69.2779;0
586;0;0;87.7666;0;69.2779;0
587;0;0;87.7666;0;69.2779;0
588;0;0;87.7666;0;69.2779;0
589;0;0;87.7666;0;69.2779;0
590;0;0;87.7666;0;69.2779;0
591;0;0;87.7666;0;69.2779;0
592;0;0;87.7666;0;69.2779;0
593;1.0036;0;87.7666;1.309;69.2779;1.1517
594;3.8072;0.21;87.7666;4.4181;69.2779;4.1033
595;7.4072;2.2199;87.7666;8.0181;69.2779;7.7033
596;11.0072;5.8199;87.7666;11.6181;69.2779;11.3033
597;14.6072;9.4199;87.7666;15.2181;69.2779;14.9033
598;18.2072;13.0199;87.7666;18.8181;69.2779;18.5033
599;21.8072;16.6199;87.7666;22.4181;69.2779;22.1033
600;25.3987;20.2156;87.7666;26.004;69.2779;25.6921
601;28.8882;23.659;87.7666;29.4958;69.2779;29.115
602;31.9512;26.6708;87.7666;32.7539;69.2779;32.0384
603;34.2081;29.2905;87.7666;34.703;69.2779;34.2139
604;35.1;31.3944;87.7666;35.1;69.2779;35.1
605;35.1;32.9079;87.7666;35.1;69.2779;35.1
606;35.1;34.2418;87.7666;35.1;69.2779;35.1
607;35.1;35.0052;87.7666;35.1;69.2779;35.1
608;35.1;35.1;87.7666;35.1;69.2779;35.1
609;35.1;35.1;87.7666;35.1;69.2779;35.1
610;35.1;35.1;87.7666;35.1;69.2779;35.1
611;34.0543;35.1;87.7666;33.7127;69.2779;33.9215
612;31.2086;34.9822;87.7666;30.5255;69.2779;30.943
613;27.6086;33.1111;87.7666;26.9255;69.2779;27.343
614;24.0086;29.6044;87.7666;23.3255;69.2779;23.743
615;20.4086;26.0976;87.7666;19.7255;69.2779;20.143
616;16.8086;22.5909;87.7666;16.1255;69.2779;16.543
